microphone,SN,angle,distance,cal,floor in
0,300496,0,480,TRUE,FALSE
1,300590,90,480,TRUE,FALSE
2,316939,132.354166,480,TRUE,FALSE
3,300599,135,480,TRUE,FALSE
4,300594,138.645833,480,TRUE,FALSE
5,300597,180,480,TRUE,FALSE
6,336833,90,480,TRUE,FALSE
