microphone,SN,angle,distance,cal,floor in
0,300496,0,760,TRUE,FALSE
1,300590,90,760,TRUE,FALSE
2,316939,156.5,760,TRUE,FALSE
3,300599,157.5,760,TRUE,FALSE
4,300594,158.5,760,TRUE,FALSE
5,300597,180,760,TRUE,FALSE
6,336833,90,760,TRUE,FALSE
