microphone,SN,angle,distance,cal,floor in
0,300496,0,1020,TRUE,FALSE
1,300590,90,1020,TRUE,FALSE
2,316939,133.754901,1020,TRUE,FALSE
3,300599,135,1020,TRUE,FALSE
4,300594,137.245098,1020,TRUE,FALSE
5,300597,180,1020,TRUE,FALSE
6,336833,90,1020,TRUE,FALSE
