microphone,SN,angle,distance,cal,floor in
0,300496,0,1140,TRUE,FALSE
1,300590,90,1140,TRUE,FALSE
2,316939,133.885964,1140,TRUE,FALSE
3,300599,135,1140,TRUE,FALSE
4,300594,137.114035,1140,TRUE,FALSE
5,300597,180,1140,TRUE,FALSE
6,336833,90,760,TRUE,FALSE
